id,curr,date,val
0,usd-bna/sell,2003-12-22,2.93
0,usd-bna/sell,2003-12-23,2.93
0,usd-bna/sell,2003-12-24,2.91
0,usd-bna/sell,2003-12-25,2.91
0,usd-bna/sell,2003-12-26,2.92
0,usd-bna/sell,2003-12-29,2.92
0,usd-bna/sell,2003-12-30,2.92
0,usd-bna/sell,2003-12-31,2.92
0,usd-bna/sell,2004-01-02,2.91
0,usd-bna/sell,2004-01-05,2.87
0,usd-bna/sell,2004-01-06,2.86
0,usd-bna/sell,2004-01-07,2.89
0,usd-bna/sell,2004-01-08,2.89
0,usd-bna/sell,2004-01-09,2.89
0,usd-bna/sell,2004-01-12,2.87
0,usd-bna/sell,2004-01-13,2.85
0,usd-bna/sell,2004-01-14,2.87
0,usd-bna/sell,2004-01-15,2.87
0,usd-bna/sell,2004-01-16,2.87
0,usd-bna/sell,2004-01-19,2.87
0,usd-bna/sell,2004-01-20,2.87
0,usd-bna/sell,2004-01-21,2.89
0,usd-bna/sell,2004-01-22,2.89
0,usd-bna/sell,2004-01-23,2.89
0,usd-bna/sell,2004-01-26,2.89
0,usd-bna/sell,2004-01-27,2.89
0,usd-bna/sell,2004-01-28,2.89
0,usd-bna/sell,2004-01-29,2.93
0,usd-bna/sell,2004-01-30,2.91
0,usd-bna/sell,2004-02-02,2.91
0,usd-bna/sell,2004-02-03,2.91
0,usd-bna/sell,2004-02-04,2.91
0,usd-bna/sell,2004-02-05,2.93
0,usd-bna/sell,2004-02-06,2.95
0,usd-bna/sell,2004-02-09,2.93
0,usd-bna/sell,2004-02-10,2.91
0,usd-bna/sell,2004-02-11,2.93
0,usd-bna/sell,2004-02-12,2.92
0,usd-bna/sell,2004-02-13,2.91
0,usd-bna/sell,2004-02-16,2.91
0,usd-bna/sell,2004-02-17,2.91
0,usd-bna/sell,2004-02-18,2.92
0,usd-bna/sell,2004-02-19,2.92
0,usd-bna/sell,2004-02-20,2.93
0,usd-bna/sell,2004-02-23,2.91
0,usd-bna/sell,2004-02-24,2.91
0,usd-bna/sell,2004-02-25,2.91
0,usd-bna/sell,2004-02-26,2.91
0,usd-bna/sell,2004-02-27,2.91
0,usd-bna/sell,2004-03-01,2.9
0,usd-bna/sell,2004-03-02,2.91
0,usd-bna/sell,2004-03-03,2.9
0,usd-bna/sell,2004-03-04,2.91
0,usd-bna/sell,2004-03-05,2.92
0,usd-bna/sell,2004-03-08,2.93
0,usd-bna/sell,2004-03-09,2.9
0,usd-bna/sell,2004-03-10,2.9
0,usd-bna/sell,2004-03-11,2.9
0,usd-bna/sell,2004-03-12,2.9
0,usd-bna/sell,2004-03-15,2.9
0,usd-bna/sell,2004-03-16,2.89
0,usd-bna/sell,2004-03-17,2.88
0,usd-bna/sell,2004-03-18,2.88
0,usd-bna/sell,2004-03-19,2.88
0,usd-bna/sell,2004-03-22,2.85
0,usd-bna/sell,2004-03-23,2.86
0,usd-bna/sell,2004-03-24,2.87
0,usd-bna/sell,2004-03-25,2.87
0,usd-bna/sell,2004-03-26,2.87
0,usd-bna/sell,2004-03-29,2.87
0,usd-bna/sell,2004-03-30,2.85
0,usd-bna/sell,2004-03-31,2.85
0,usd-bna/sell,2004-04-01,2.84
0,usd-bna/sell,2004-04-02,2.84
0,usd-bna/sell,2004-04-06,2.82
0,usd-bna/sell,2004-04-07,2.8
0,usd-bna/sell,2004-04-12,2.8
0,usd-bna/sell,2004-04-13,2.8
0,usd-bna/sell,2004-04-14,2.8
0,usd-bna/sell,2004-04-15,2.81
0,usd-bna/sell,2004-04-16,2.81
0,usd-bna/sell,2004-04-19,2.81
0,usd-bna/sell,2004-04-20,2.82
0,usd-bna/sell,2004-04-21,2.84
0,usd-bna/sell,2004-04-22,2.85
0,usd-bna/sell,2004-04-23,2.84
0,usd-bna/sell,2004-04-26,2.83
0,usd-bna/sell,2004-04-27,2.82
0,usd-bna/sell,2004-04-28,2.84
0,usd-bna/sell,2004-04-29,2.85
0,usd-bna/sell,2004-04-30,2.83
0,usd-bna/sell,2004-05-03,2.83
0,usd-bna/sell,2004-05-04,2.84
0,usd-bna/sell,2004-05-05,2.85
0,usd-bna/sell,2004-05-06,2.87
0,usd-bna/sell,2004-05-07,2.9
0,usd-bna/sell,2004-05-10,2.91
0,usd-bna/sell,2004-05-11,2.89
0,usd-bna/sell,2004-05-12,2.9
0,usd-bna/sell,2004-05-13,2.91
0,usd-bna/sell,2004-05-14,2.9
0,usd-bna/sell,2004-05-17,2.9
0,usd-bna/sell,2004-05-18,2.9
0,usd-bna/sell,2004-05-19,2.9
0,usd-bna/sell,2004-05-20,2.93
0,usd-bna/sell,2004-05-21,2.94
0,usd-bna/sell,2004-05-24,2.94
0,usd-bna/sell,2004-05-26,2.94
0,usd-bna/sell,2004-05-27,2.95
0,usd-bna/sell,2004-05-28,2.95
0,usd-bna/sell,2004-05-31,2.95
0,usd-bna/sell,2004-06-01,2.95
0,usd-bna/sell,2004-06-02,2.93
0,usd-bna/sell,2004-06-03,2.95
0,usd-bna/sell,2004-06-04,2.95
0,usd-bna/sell,2004-06-07,2.95
0,usd-bna/sell,2004-06-08,2.95
0,usd-bna/sell,2004-06-09,2.94
0,usd-bna/sell,2004-06-10,2.95
0,usd-bna/sell,2004-06-11,2.95
0,usd-bna/sell,2004-06-14,2.95
0,usd-bna/sell,2004-06-15,2.94
0,usd-bna/sell,2004-06-16,2.94
0,usd-bna/sell,2004-06-17,2.94
0,usd-bna/sell,2004-06-18,2.95
0,usd-bna/sell,2004-06-22,2.95
0,usd-bna/sell,2004-06-23,2.94
0,usd-bna/sell,2004-06-24,2.93
0,usd-bna/sell,2004-06-25,2.94
0,usd-bna/sell,2004-06-28,2.94
0,usd-bna/sell,2004-06-29,2.95
0,usd-bna/sell,2004-06-30,2.95
0,usd-bna/sell,2004-07-01,2.94
0,usd-bna/sell,2004-07-02,2.93
0,usd-bna/sell,2004-07-05,2.93
0,usd-bna/sell,2004-07-06,2.93
0,usd-bna/sell,2004-07-07,2.93
0,usd-bna/sell,2004-07-08,2.94
0,usd-bna/sell,2004-07-12,2.94
0,usd-bna/sell,2004-07-13,2.94
0,usd-bna/sell,2004-07-14,2.93
0,usd-bna/sell,2004-07-15,2.93
0,usd-bna/sell,2004-07-16,2.93
0,usd-bna/sell,2004-07-19,2.93
0,usd-bna/sell,2004-07-20,2.94
0,usd-bna/sell,2004-07-21,2.94
0,usd-bna/sell,2004-07-22,2.94
0,usd-bna/sell,2004-07-23,2.95
0,usd-bna/sell,2004-07-26,2.96
0,usd-bna/sell,2004-07-27,2.96
0,usd-bna/sell,2004-07-28,2.96
0,usd-bna/sell,2004-07-29,2.96
0,usd-bna/sell,2004-07-30,2.96
0,usd-bna/sell,2004-08-02,2.97
0,usd-bna/sell,2004-08-03,2.97
0,usd-bna/sell,2004-08-04,3.0
0,usd-bna/sell,2004-08-05,3.03
0,usd-bna/sell,2004-08-06,3.05
0,usd-bna/sell,2004-08-09,3.02
0,usd-bna/sell,2004-08-10,3.0
0,usd-bna/sell,2004-08-11,3.01
0,usd-bna/sell,2004-08-12,3.0
0,usd-bna/sell,2004-08-13,3.0
0,usd-bna/sell,2004-08-17,2.99
0,usd-bna/sell,2004-08-18,3.0
0,usd-bna/sell,2004-08-19,2.99
0,usd-bna/sell,2004-08-20,2.99
0,usd-bna/sell,2004-08-23,2.99
0,usd-bna/sell,2004-08-24,2.99
0,usd-bna/sell,2004-08-25,2.98
0,usd-bna/sell,2004-08-26,2.99
0,usd-bna/sell,2004-08-27,3.0
0,usd-bna/sell,2004-08-30,2.99
0,usd-bna/sell,2004-08-31,2.99
0,usd-bna/sell,2004-09-01,2.99
0,usd-bna/sell,2004-09-02,2.99
0,usd-bna/sell,2004-09-03,2.99
0,usd-bna/sell,2004-09-06,2.98
0,usd-bna/sell,2004-09-07,2.98
0,usd-bna/sell,2004-09-08,2.98
0,usd-bna/sell,2004-09-09,2.99
0,usd-bna/sell,2004-09-10,2.99
0,usd-bna/sell,2004-09-13,2.99
0,usd-bna/sell,2004-09-14,2.98
0,usd-bna/sell,2004-09-15,2.97
0,usd-bna/sell,2004-09-16,2.97
0,usd-bna/sell,2004-09-17,2.99
0,usd-bna/sell,2004-09-20,2.98
0,usd-bna/sell,2004-09-21,2.99
0,usd-bna/sell,2004-09-22,2.99
0,usd-bna/sell,2004-09-23,2.98
0,usd-bna/sell,2004-09-24,2.98
0,usd-bna/sell,2004-09-27,2.99
0,usd-bna/sell,2004-09-28,2.98
