Fecha,Precio de venta,Tipo de dólar
31/10/2012 12:00:00 a.m.,"4,775",Oficial
31/10/2012 12:00:00 a.m.,"6,34",Informal (Blue)
01/11/2012 12:00:00 a.m.,"4,785",Oficial
01/11/2012 12:00:00 a.m.,"6,34",Informal (Blue)
02/11/2012 12:00:00 a.m.,"4,785",Oficial
02/11/2012 12:00:00 a.m.,"6,33",Informal (Blue)
05/11/2012 12:00:00 a.m.,"4,79",Oficial
05/11/2012 12:00:00 a.m.,"6,34",Informal (Blue)
07/11/2012 12:00:00 a.m.,"4,79",Oficial
07/11/2012 12:00:00 a.m.,"6,3",Informal (Blue)
08/11/2012 12:00:00 a.m.,"4,79",Oficial
08/11/2012 12:00:00 a.m.,"6,33",Informal (Blue)
09/11/2012 12:00:00 a.m.,"4,795",Oficial
09/11/2012 12:00:00 a.m.,"6,33",Informal (Blue)
12/11/2012 12:00:00 a.m.,"4,795",Oficial
12/11/2012 12:00:00 a.m.,"6,32",Informal (Blue)
13/11/2012 12:00:00 a.m.,"4,8",Oficial
13/11/2012 12:00:00 a.m.,"6,32",Informal (Blue)
14/11/2012 12:00:00 a.m.,"4,805",Oficial
14/11/2012 12:00:00 a.m.,"6,35",Informal (Blue)
15/11/2012 12:00:00 a.m.,"4,805",Oficial
15/11/2012 12:00:00 a.m.,"6,35",Informal (Blue)
16/11/2012 12:00:00 a.m.,"4,81",Oficial
16/11/2012 12:00:00 a.m.,"6,4",Informal (Blue)
19/11/2012 12:00:00 a.m.,"4,81",Oficial
19/11/2012 12:00:00 a.m.,"6,36",Informal (Blue)
20/11/2012 12:00:00 a.m.,"4,815",Oficial
20/11/2012 12:00:00 a.m.,"6,36",Informal (Blue)
21/11/2012 12:00:00 a.m.,"4,82",Oficial
21/11/2012 12:00:00 a.m.,"6,38",Informal (Blue)
22/11/2012 12:00:00 a.m.,"4,835",Oficial
22/11/2012 12:00:00 a.m.,"6,41",Informal (Blue)
23/11/2012 12:00:00 a.m.,"4,84",Oficial
23/11/2012 12:00:00 a.m.,"6,46",Informal (Blue)
27/11/2012 12:00:00 a.m.,"4,85",Oficial
27/11/2012 12:00:00 a.m.,"6,45",Informal (Blue)
28/11/2012 12:00:00 a.m.,"4,85",Oficial
28/11/2012 12:00:00 a.m.,"6,47",Informal (Blue)
29/11/2012 12:00:00 a.m.,"4,855",Oficial
29/11/2012 12:00:00 a.m.,"6,44",Informal (Blue)
30/11/2012 12:00:00 a.m.,"4,855",Oficial
